ether_type,src_ip,dst_ip,tcp_sport,tcp_dport,udp_sport,udp_dport,proto,size,count,class
2048,192.168.1.106,52.87.241.159,40767,443,0,0,6,12003306,102259,1
2048,52.87.241.159,192.168.1.106,443,40767,0,0,6,1425326,102234,1
2048,139.59.177.198,192.168.1.196,0,0,123,4967,17,76,1,0
2048,192.168.1.1,192.168.1.241,0,0,53,35876,17,254,1,0
2048,192.168.1.1,192.168.1.241,0,0,53,35876,17,254,1,0
2048,192.168.1.1,192.168.1.241,0,0,53,35876,17,254,1,0
2048,192.168.1.240,23.23.189.20,0,0,49280,33434,17,508669,3199,1
2048,192.168.1.196,54.210.202.2,2173,443,0,0,6,168039,11642,1
2048,52.8.241.183,192.168.1.241,0,0,4500,36859,17,49817,2088,1
2048,52.8.241.183,192.168.1.241,0,0,4500,36859,17,49817,2088,1
2048,54.210.202.2,192.168.1.196,443,2173,0,0,6,155083,11333,1
2048,54.210.202.2,192.168.1.196,443,2173,0,0,6,155083,11333,1
2048,192.168.1.241,52.8.241.183,0,0,36859,4500,17,49018,2068,1
2048,192.168.1.166,89.30.121.13,47747,1935,0,0,6,201748,16809,1
2048,89.30.121.13,192.168.1.166,1935,47747,0,0,6,201748,16809,1
2048,89.30.121.13,192.168.1.166,1935,47747,0,0,6,201748,16809,1
2048,89.30.121.13,192.168.1.166,1935,47747,0,0,6,201748,16809,1
2048,192.168.1.249,52.8.89.254,35792,5222,0,0,6,426928,5805,1
2048,52.8.89.254,192.168.1.249,5222,35792,0,0,6,522142,3633,1
2048,192.168.1.240,23.23.189.20,0,0,47532,33434,17,476679,3199,1
2048,192.168.1.249,239.255.255.250,0,0,42723,1900,17,8771898,20152,1
2048,192.168.1.143,52.220.7.83,50564,50443,0,0,6,150996,2842,1
2048,52.220.7.83,192.168.1.143,50443,50564,0,0,6,98044,1424,1
2048,192.168.1.223,174.129.217.97,4104,3478,0,0,6,42360,492,1
2048,46.105.38.79,192.168.1.120,5228,54638,0,0,6,225595,2024,1
2048,192.168.1.120,46.105.38.79,54638,5228,0,0,6,245625,2811,1
2048,174.129.217.97,192.168.1.223,3478,4104,0,0,6,22760,260,1
2048,192.168.1.240,54.239.29.231,58255,443,0,0,6,7791,333,0
2048,54.239.29.231,192.168.1.240,443,58255,0,0,6,8564,367,0
2048,54.239.29.231,192.168.1.240,443,58255,0,0,6,8564,367,0
2048,54.239.29.231,192.168.1.240,443,58255,0,0,6,8564,367,0
2048,54.239.29.231,192.168.1.240,443,58255,0,0,6,8564,367,0
2048,54.239.29.231,192.168.1.240,443,58255,0,0,6,8564,367,0
2048,54.239.29.231,192.168.1.240,443,58255,0,0,6,8564,367,0
2048,54.239.29.231,192.168.1.240,443,58255,0,0,6,8564,367,0
2048,54.239.29.231,192.168.1.240,443,58255,0,0,6,8564,367,0
2048,192.168.1.240,207.171.178.6,0,0,49973,123,17,124,2,0
2048,207.171.178.6,192.168.1.240,0,0,123,49973,17,124,2,0
2048,207.171.178.6,192.168.1.240,0,0,123,49973,17,124,2,0
2048,207.171.178.6,192.168.1.240,0,0,123,49973,17,124,2,0
2048,207.171.178.6,192.168.1.240,0,0,123,49973,17,124,2,0
2048,207.171.178.6,192.168.1.240,0,0,123,49973,17,124,2,0
2048,207.171.178.6,192.168.1.240,0,0,123,49973,17,124,2,0
2048,207.171.178.6,192.168.1.240,0,0,123,49973,17,124,2,0
2048,207.171.178.6,192.168.1.240,0,0,123,49973,17,124,2,0
2048,207.171.178.6,192.168.1.240,0,0,123,49973,17,124,2,0
2048,207.171.178.6,192.168.1.240,0,0,123,49973,17,124,2,0
2048,192.168.1.236,15.72.162.53,21787,5222,0,0,6,103040,1187,1
2048,15.72.162.53,192.168.1.236,5222,21787,0,0,6,18969,1187,1
2048,192.168.1.193,239.255.255.250,0,0,3222,1900,17,114158,1130,1
2048,192.168.1.249,192.168.1.193,0,0,1900,3222,17,462763,1365,1
2048,192.168.1.193,192.168.1.249,3244,49152,0,0,6,294,5,0
2048,192.168.1.249,192.168.1.193,49152,3244,0,0,6,1278,5,0
2048,192.168.1.193,192.168.1.249,3245,49152,0,0,6,560,11,0
2048,192.168.1.249,192.168.1.193,49152,3245,0,0,6,2516,10,0
2048,192.168.1.177,192.168.1.255,0,0,138,138,17,50908,240,1
2048,192.168.1.177,192.168.1.255,0,0,138,138,17,50908,240,1
2048,192.168.1.177,192.168.1.255,0,0,138,138,17,50908,240,1
2048,192.168.1.177,192.168.1.255,0,0,138,138,17,50908,240,1
2048,192.168.1.177,192.168.1.255,0,0,138,138,17,50908,240,1
2048,192.168.1.177,192.168.1.255,0,0,138,138,17,50908,240,1
2048,192.168.1.177,192.168.1.255,0,0,138,138,17,50908,240,1
2048,192.168.1.120,192.168.1.1,0,0,37616,53,17,5638,170,0
2048,192.168.1.1,192.168.1.120,0,0,53,37616,17,17085,170,1
2048,192.168.1.1,192.168.1.120,0,0,53,37616,17,17085,170,1
2048,192.168.1.1,192.168.1.120,0,0,53,37616,17,17085,170,1
