tcp_sport,tcp_dport,udp_sport,udp_dport,proto,size,count,class
40767,443,0,0,6,11721,102259,1
443,40767,0,0,6,1391,102234,1
0,0,123,4967,17,0,1,0
0,0,53,35876,17,0,1,0
0,0,49280,33434,17,496,3199,1
2173,443,0,0,6,164,11642,1
0,0,4500,36859,17,48,2088,1
443,2173,0,0,6,151,11333,1
0,0,36859,4500,17,47,2068,1
47747,1935,0,0,6,197,16809,1
1935,47747,0,0,6,197,16809,1
35792,5222,0,0,6,416,5805,1
5222,35792,0,0,6,509,3633,1
0,0,47532,33434,17,465,3199,1
0,0,42723,1900,17,8566,20152,1
50564,50443,0,0,6,147,2842,1
50443,50564,0,0,6,95,1424,1
4104,3478,0,0,6,41,492,1
5228,54638,0,0,6,220,2024,1
54638,5228,0,0,6,239,2811,1
3478,4104,0,0,6,22,260,1
58255,443,0,0,6,7,333,0
443,58255,0,0,6,8,367,0
0,0,49973,123,17,0,2,0
0,0,123,49973,17,0,2,0
21787,5222,0,0,6,100,1187,1
5222,21787,0,0,6,18,1187,1
0,0,3222,1900,17,111,1130,1
0,0,1900,3222,17,451,1365,1
3244,49152,0,0,6,0,5,0
49152,3244,0,0,6,1,5,0
3245,49152,0,0,6,0,11,0
49152,3245,0,0,6,2,10,0
0,0,138,138,17,49,240,1
0,0,37616,53,17,5,170,0
0,0,53,37616,17,16,170,1
57275,8090,0,0,6,3,301,0
8090,57275,0,0,6,3,301,0
36965,50443,0,0,6,4,56,0
50443,36965,0,0,6,2,28,0
0,0,33217,123,17,2,44,0
0,0,123,33217,17,2,44,0
4370,3478,0,0,6,41,501,1
3478,4370,0,0,6,22,273,1
4630,49152,0,0,6,0,5,0
4631,49152,0,0,6,0,10,0
49152,4630,0,0,6,1,5,0
49152,4631,0,0,6,2,10,0
4632,49152,0,0,6,0,10,0
49152,4632,0,0,6,2,10,0
4634,49152,0,0,6,0,10,0
49152,4634,0,0,6,2,10,0
0,0,50000,1900,17,8,80,0
45417,443,0,0,6,0,9,0
0,0,44239,53,17,0,1,0
0,0,53,44239,17,0,1,0
39830,443,0,0,6,1,20,0
443,39830,0,0,6,5,11,0
0,0,68,67,17,679,2259,1
0,0,67,68,17,658,2248,1
5228,52893,0,0,6,0,7,0
52893,5228,0,0,6,0,25,0
0,0,59660,53,17,0,2,0
0,0,53,59660,17,0,2,0
45598,80,0,0,6,0,4,0
80,45598,0,0,6,0,2,0
0,0,40405,53,17,0,2,0
0,0,53,40405,17,0,2,0
45599,80,0,0,6,0,4,0
80,45599,0,0,6,0,2,0
0,0,40689,53,17,0,2,0
0,0,53,40689,17,0,2,0
45600,80,0,0,6,0,4,0
80,45600,0,0,6,0,2,0
0,0,41566,53,17,0,1,0
0,0,53,41566,17,0,1,0
0,0,33118,53,17,0,1,0
0,0,53,33118,17,0,1,0
0,0,39853,53,17,0,1,0
0,0,53,39853,17,0,1,0
0,0,40581,53,17,0,1,0
0,0,53,40581,17,0,1,0
0,0,57559,53,17,0,1,0
0,0,53,57559,17,0,1,0
59944,443,0,0,6,1,13,0
443,59944,0,0,6,4,13,0
0,0,46630,123,17,0,10,0
0,0,123,46630,17,0,10,0
4639,49152,0,0,6,0,15,0
49152,4639,0,0,6,3,15,0
4640,49152,0,0,6,0,6,0
49152,4640,0,0,6,1,5,0
0,0,52771,53,17,0,1,0
0,0,53,52771,17,0,1,0
42000,443,0,0,6,2,16,0
443,42000,0,0,6,3,11,0
0,0,25587,53,17,5,161,0
0,0,53,25587,17,43,147,1
26156,25050,0,0,6,0,9,0
25050,26156,0,0,6,0,9,0
0,0,68,67,17,37,126,1
0,0,17898,3478,17,0,14,0
0,0,17899,3478,17,6,224,0
0,0,3478,17898,17,0,14,0
0,0,17898,3478,17,0,14,0
0,0,17898,17898,17,2,98,0
0,0,3478,17898,17,0,14,0
0,0,17898,8089,17,0,14,0
3664,49152,0,0,6,0,7,0
3665,49152,0,0,6,0,6,0
49152,3665,0,0,6,1,5,0
49152,3664,0,0,6,1,5,0
0,0,38197,53,17,0,1,0
0,0,53,38197,17,0,1,0
53481,80,0,0,6,1,8,0
80,53481,0,0,6,0,5,0
0,0,34289,123,17,0,2,0
0,0,123,34289,17,0,1,0
0,0,40335,53,17,0,2,0
0,0,53,40335,17,0,2,0
40812,80,0,0,6,0,4,0
80,40812,0,0,6,0,2,0
0,0,54408,53,17,0,2,0
0,0,53,54408,17,0,2,0
40813,80,0,0,6,0,4,0
80,40813,0,0,6,0,2,0
0,0,59673,53,17,0,2,0
0,0,53,59673,17,0,2,0
40814,80,0,0,6,0,4,0
80,40814,0,0,6,0,2,0
0,0,45422,123,17,0,1,0
0,0,123,45422,17,0,1,0
0,0,4970,53,17,0,1,0
0,0,53,4970,17,0,1,0
0,0,4969,123,17,0,1,0
0,0,123,4969,17,0,1,0
3669,49152,0,0,6,0,10,0
49152,3669,0,0,6,2,10,0
3670,49152,0,0,6,0,5,0
49152,3670,0,0,6,1,5,0
3672,49152,0,0,6,0,10,0
49152,3672,0,0,6,2,10,0
3673,49152,0,0,6,0,10,0
49152,3673,0,0,6,2,10,0
0,0,3890,53,17,3,96,0
0,0,53,3890,17,26,96,1
33075,443,0,0,6,0,7,0
3459,49152,0,0,6,0,5,0
3460,49152,0,0,6,0,10,0
49152,3459,0,0,6,1,5,0
49152,3460,0,0,6,2,10,0
0,0,58178,53,17,0,2,0
0,0,53,58178,17,0,2,0
47283,80,0,0,6,0,4,0
80,47283,0,0,6,0,2,0
0,0,33171,53,17,0,2,0
0,0,53,33171,17,0,2,0
47284,80,0,0,6,0,4,0
80,47284,0,0,6,0,2,0
0,0,37415,53,17,0,2,0
0,0,53,37415,17,0,2,0
47285,80,0,0,6,0,4,0
80,47285,0,0,6,0,2,0
26157,25050,0,0,6,0,9,0
25050,26157,0,0,6,0,9,0
0,0,137,137,17,23,355,1
0,0,60631,123,17,1,25,0
0,0,123,60631,17,1,25,0
3465,49152,0,0,6,0,5,0
3466,49152,0,0,6,0,10,0
49152,3465,0,0,6,1,5,0
49152,3466,0,0,6,2,10,0
0,0,45806,53,17,0,1,0
0,0,53,45806,17,0,1,0
50351,80,0,0,6,0,6,0
80,50351,0,0,6,0,3,0
0,0,46011,53,17,0,1,0
0,0,53,46011,17,0,1,0
50352,80,0,0,6,0,7,0
80,50352,0,0,6,1,5,0
0,0,55396,53,17,0,1,0
0,0,53,55396,17,0,1,0
37156,80,0,0,6,0,5,0
80,37156,0,0,6,0,5,0
0,0,36601,53,17,0,2,0
0,0,53,36601,17,0,2,0
0,0,36643,53,17,0,1,0
0,0,53,36643,17,0,1,0
0,0,60572,53,17,0,1,0
0,0,53,60572,17,0,1,0
0,0,43067,53,17,0,1,0
0,0,53,43067,17,0,1,0
0,0,58904,53,17,0,1,0
0,0,53,58904,17,0,1,0
59945,443,0,0,6,1,14,0
443,59945,0,0,6,4,12,0
37114,443,0,0,6,0,7,0
0,0,51152,53,17,0,1,0
0,0,53,51152,17,0,1,0
50353,80,0,0,6,0,6,0
80,50353,0,0,6,0,3,0
0,0,43167,53,17,0,1,0
0,0,53,43167,17,0,1,0
60925,80,0,0,6,1,8,0
3745,49152,0,0,6,0,10,0
49152,3745,0,0,6,2,10,0
80,60925,0,0,6,0,5,0
3748,49152,0,0,6,0,15,0
49152,3748,0,0,6,3,15,0
0,0,48263,53,17,0,2,0
0,0,53,48263,17,0,2,0
40511,80,0,0,6,0,4,0
80,40511,0,0,6,0,2,0
0,0,45284,53,17,0,2,0
0,0,53,45284,17,0,2,0
40512,80,0,0,6,0,4,0
80,40512,0,0,6,0,2,0
0,0,46501,53,17,0,2,0
0,0,53,46501,17,0,2,0
40513,80,0,0,6,0,4,0
80,40513,0,0,6,0,2,0
0,0,4972,53,17,0,1,0
0,0,53,4972,17,0,1,0
0,0,4971,123,17,0,1,0
0,0,123,4971,17,0,1,0
0,0,47681,123,17,0,7,0
0,0,123,47681,17,0,7,0
0,0,33399,123,17,1,41,0
0,0,123,33399,17,1,41,0
0,0,60676,53,17,0,1,0
0,0,53,60676,17,0,1,0
3751,49152,0,0,6,0,10,0
49152,3751,0,0,6,2,10,0
3754,49152,0,0,6,0,10,0
49152,3754,0,0,6,2,10,0
0,0,53397,53,17,0,1,0
0,0,53,53397,17,0,1,0
41578,443,0,0,6,2,14,0
443,41578,0,0,6,3,12,0
3872,49152,0,0,6,0,11,0
49152,3872,0,0,6,2,10,0
3874,49152,0,0,6,0,11,0
49152,3874,0,0,6,2,10,0
0,0,59548,53,17,0,2,0
0,0,53,59548,17,0,2,0
33696,80,0,0,6,0,4,0
80,33696,0,0,6,0,2,0
0,0,46922,53,17,0,2,0
0,0,53,46922,17,0,2,0
33697,80,0,0,6,0,8,0
80,33697,0,0,6,0,4,0
0,0,38980,53,17,0,2,0
0,0,53,38980,17,0,2,0
33698,80,0,0,6,0,8,0
80,33698,0,0,6,0,4,0
0,0,3233,53,17,0,4,0
0,0,53,3233,17,1,4,0
3876,49152,0,0,6,0,15,0
49152,3876,0,0,6,3,15,0
3879,49152,0,0,6,0,5,0
49152,3879,0,0,6,1,5,0
0,0,45985,53,17,0,1,0
0,0,53,45985,17,0,1,0
52094,80,0,0,6,0,6,0
80,52094,0,0,6,0,4,0
26158,25050,0,0,6,0,6,0
25050,26158,0,0,6,0,8,0
26159,25050,0,0,6,0,10,0
25050,26159,0,0,6,0,9,0
0,0,47523,53,17,0,1,0
0,0,53,47523,17,0,1,0
35543,80,0,0,6,1,8,0
80,35543,0,0,6,0,5,0
4146,49152,0,0,6,0,16,0
4147,49152,0,0,6,0,10,0
49152,4146,0,0,6,3,15,0
49152,4147,0,0,6,2,10,0
0,0,49071,53,17,0,1,0
0,0,53,49071,17,0,1,0
0,0,55755,53,17,0,1,0
0,0,53,55755,17,0,1,0
0,0,41654,53,17,0,1,0
0,0,53,41654,17,0,1,0
0,0,60688,53,17,0,1,0
0,0,53,60688,17,0,1,0
0,0,59899,53,17,0,1,0
0,0,53,59899,17,0,1,0
59946,443,0,0,6,1,14,0
443,59946,0,0,6,4,14,0
0,0,57525,53,17,0,2,0
0,0,53,57525,17,0,2,0
53279,80,0,0,6,0,4,0
80,53279,0,0,6,0,2,0
0,0,36192,53,17,0,2,0
0,0,53,36192,17,0,2,0
53280,80,0,0,6,0,4,0
80,53280,0,0,6,0,2,0
0,0,37071,53,17,0,2,0
0,0,53,37071,17,0,2,0
53281,80,0,0,6,0,4,0
80,53281,0,0,6,0,2,0
0,0,4974,53,17,0,1,0
0,0,53,4974,17,0,1,0
0,0,4973,123,17,0,1,0
0,0,4976,53,17,0,1,0
0,0,53,4976,17,0,1,0
0,0,4975,123,17,0,1,0
0,0,123,4975,17,0,1,0
4150,49152,0,0,6,0,10,0
49152,4150,0,0,6,2,10,0
4153,49152,0,0,6,0,10,0
49152,4153,0,0,6,2,10,0
3381,49152,0,0,6,0,15,0
3382,49152,0,0,6,0,5,0
49152,3381,0,0,6,3,15,0
49152,3382,0,0,6,1,5,0
26160,25050,0,0,6,0,9,0
25050,26160,0,0,6,0,9,0
0,0,47388,53,17,0,2,0
0,0,53,47388,17,0,2,0
41138,80,0,0,6,0,4,0
80,41138,0,0,6,0,3,0
0,0,53529,53,17,0,2,0
0,0,53,53529,17,0,2,0
41139,80,0,0,6,0,4,0
80,41139,0,0,6,0,2,0
0,0,47100,53,17,0,2,0
0,0,53,47100,17,0,2,0
41140,80,0,0,6,0,4,0
80,41140,0,0,6,0,2,0
0,0,50490,123,17,0,1,0
0,0,123,50490,17,0,1,0
0,0,37724,123,17,0,1,0
0,0,123,37724,17,0,1,0
0,0,34062,53,17,0,1,0
0,0,53,34062,17,0,1,0
42853,443,0,0,6,2,16,0
443,42853,0,0,6,3,11,0
