src_ip,dst_ip,sport,dport,proto,size
15.72.255.53,192.168.1.236,5222,27477,6,64586
52.87.241.159,192.168.1.106,443,47940,6,4574626
192.168.1.223,174.129.217.97,4124,3478,6,76628
174.129.217.97,192.168.1.223,3478,4124,6,41380
192.168.1.106,52.87.241.159,47940,443,6,12489370
192.168.1.241,195.154.199.173,443,47940,1,84
192.168.1.241,52.8.186.218,45485,4500,17,130632
195.154.199.173,192.168.1.241,45485,4500,1,84
52.8.186.218,192.168.1.241,4500,45485,17,135014
192.168.1.241,195.154.199.173,443,47940,1,84
195.154.199.173,192.168.1.241,443,47940,1,84
192.168.1.196,52.1.40.122,2179,443,6,622682
52.1.40.122,192.168.1.196,443,2179,6,600247
192.168.1.241,195.154.199.173,443,47940,1,84
195.154.199.173,192.168.1.241,443,47940,1,84
192.168.1.156,89.30.121.22,40179,5222,6,1136160
89.30.121.22,192.168.1.156,5222,40179,6,798768
192.168.1.240,23.23.189.20,38557,33434,17,566223
192.168.1.240,23.23.189.20,43446,33434,17,598213
46.105.38.79,192.168.1.120,5228,33735,6,324966
192.168.1.192,120.24.76.167,59960,10001,17,191664
192.168.1.192,115.29.178.199,59960,10001,17,191664
192.168.1.192,23.234.53.67,59960,10001,17,187968
192.168.1.192,50.7.44.82,59960,10001,17,187968
192.168.1.192,50.7.114.59,59960,10001,17,189288
192.168.1.192,50.7.176.18,59960,10001,17,192896
192.168.1.192,23.234.53.61,59960,10001,17,189288
50.7.44.82,192.168.1.192,10001,59960,17,131384
50.7.176.18,192.168.1.192,10001,59960,17,187000
192.168.1.120,46.105.38.79,33735,5228,6,384567
192.168.1.249,54.67.41.98,42284,5222,6,654616
54.67.41.98,192.168.1.249,5222,42284,6,702252
192.168.1.249,239.255.255.250,47940,443,2,32
192.168.1.240,176.32.98.204,38228,443,6,13227
176.32.98.204,192.168.1.240,443,38228,6,14596
192.168.1.223,192.168.1.1,38228,443,1,104
192.168.1.1,192.168.1.223,38228,443,1,104
192.168.1.223,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.223,443,47940,1,104
192.168.1.236,239.255.255.250,4500,45485,2,32
192.168.1.223,192.168.1.1,47940,443,1,104
192.168.1.1,192.168.1.223,47940,443,1,104
192.168.1.249,224.0.0.251,443,47940,2,32
192.168.1.236,224.0.1.60,443,47940,2,32
192.168.1.249,239.255.255.250,44976,1900,17,9336597
192.168.1.120,188.165.38.151,41333,8090,6,30264
192.168.1.223,239.255.255.250,41333,8090,2,32
192.168.1.193,239.255.255.250,47940,443,2,32
188.165.38.151,192.168.1.120,8090,41333,6,30264
192.168.1.193,192.168.1.1,38557,33434,1,104
192.168.1.1,192.168.1.193,38557,33434,1,104
192.168.1.193,192.168.1.1,43446,33434,1,104
192.168.1.1,192.168.1.193,43446,33434,1,104
192.168.1.193,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.193,443,47940,1,104
192.168.1.118,8.8.8.8,30421,53,17,58
192.168.1.118,192.168.1.1,30421,53,17,58
8.8.8.8,192.168.1.118,53,30421,17,122
192.168.1.1,192.168.1.118,53,30421,17,512
192.168.1.118,208.94.243.142,48999,123,17,152
208.94.243.142,192.168.1.118,123,48999,17,152
192.168.1.118,146.148.44.137,28987,56700,6,210784
146.148.44.137,192.168.1.118,56700,28987,6,146750
192.168.1.192,192.168.1.1,51711,53,17,59
192.168.1.1,192.168.1.192,53,51711,17,106
192.168.1.192,24.56.178.140,47611,123,17,228
192.168.1.156,192.168.1.1,37985,53,17,66
192.168.1.1,192.168.1.156,53,37985,17,271
192.168.1.156,89.30.121.150,36428,80,6,898
89.30.121.150,192.168.1.156,80,36428,6,602
192.168.1.156,192.168.1.1,48038,53,17,66
192.168.1.1,192.168.1.156,53,48038,17,82
192.168.1.156,89.30.121.150,36429,80,6,2243
89.30.121.150,192.168.1.156,80,36429,6,679
192.168.1.156,192.168.1.1,39640,53,17,66
192.168.1.1,192.168.1.156,53,39640,17,82
192.168.1.156,89.30.121.150,36430,80,6,14208
89.30.121.150,192.168.1.156,80,36430,6,774
192.168.1.223,192.168.1.1,47940,443,1,104
192.168.1.1,192.168.1.223,47940,443,1,104
192.168.1.223,192.168.1.1,47940,443,1,104
192.168.1.1,192.168.1.223,47940,443,1,104
192.168.1.223,192.168.1.1,47940,443,1,104
192.168.1.1,192.168.1.223,47940,443,1,104
192.168.1.193,239.255.255.250,3080,1900,17,146931
192.168.1.249,192.168.1.193,1900,3080,17,388653
192.168.1.223,192.168.1.193,3122,3080,17,62832
192.168.1.193,192.168.1.223,3654,49153,6,1110
192.168.1.223,192.168.1.193,49153,3654,6,7978
192.168.1.193,192.168.1.249,4335,49152,6,454
192.168.1.249,192.168.1.193,49152,4335,6,1438
192.168.1.193,192.168.1.223,3656,49153,6,555
192.168.1.223,192.168.1.193,49153,3656,6,3989
192.168.1.193,192.168.1.223,3657,49153,6,1110
192.168.1.223,192.168.1.193,49153,3657,6,7978
192.168.1.193,192.168.1.223,3659,49153,6,1110
192.168.1.223,192.168.1.193,49153,3659,6,7978
192.168.1.193,192.168.1.249,4342,49152,6,960
192.168.1.249,192.168.1.193,49152,4342,6,2876
192.168.1.236,15.72.255.53,27477,5222,6,147294
192.168.1.193,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.193,443,47940,1,104
192.168.1.240,107.170.224.8,43137,123,17,13908
107.170.224.8,192.168.1.240,123,43137,17,13832
192.168.1.193,192.168.1.1,2179,443,1,104
192.168.1.1,192.168.1.193,2179,443,1,104
192.168.1.193,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.193,443,47940,1,104
192.168.1.192,192.168.1.1,49329,53,17,59
192.168.1.1,192.168.1.192,53,49329,17,106
192.168.1.192,24.56.178.140,57753,123,17,228
0.0.0.0,224.0.0.1,443,47940,2,32
192.168.1.192,239.255.255.250,443,47940,2,32
192.168.1.240,198.38.16.1,45569,123,17,2964
198.38.16.1,192.168.1.240,123,45569,17,2964
192.168.1.236,224.0.1.60,443,47940,2,32
192.168.1.223,239.255.255.250,443,47940,2,32
192.168.1.249,239.255.255.250,443,47940,2,32
192.168.1.236,239.255.255.250,44976,1900,2,32
192.168.1.223,192.168.1.1,3122,53,17,540
192.168.1.1,192.168.1.223,53,3122,17,2528
192.168.1.249,224.0.0.251,443,47940,2,32
192.168.1.193,239.255.255.250,443,47940,2,32
192.168.1.193,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.193,443,47940,1,104
192.168.1.193,192.168.1.1,4500,45485,1,104
192.168.1.1,192.168.1.193,4500,45485,1,104
192.168.1.193,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.193,443,47940,1,104
192.168.1.192,192.168.1.1,39020,53,17,59
192.168.1.1,192.168.1.192,53,39020,17,106
192.168.1.192,24.56.178.140,51519,123,17,228
192.168.1.241,195.154.199.173,47940,443,1,84
195.154.199.173,192.168.1.241,47940,443,1,84
192.168.1.241,195.154.199.173,5228,33735,1,84
195.154.199.173,192.168.1.241,47940,443,1,84
192.168.1.241,195.154.199.173,443,47940,1,84
195.154.199.173,192.168.1.241,443,47940,1,84
